REPORTE DE VACUNACIÓN COVID-19
Fecha de generación: 21/8/2025 18:56:04
================================

RESUMEN EJECUTIVO:
- Total ciudadanos: 500
- No vacunados: 350 (70,0%)
- Con esquema completo: 114 (22,8%)
- Solo Pfizer: 75
- Solo AstraZeneca: 75

CIUDADANOS NO VACUNADOS (350 registros):
-------------------------------------------
ID: 1, Nombre: Ciudadano 1, Cédula: 1700000001
ID: 2, Nombre: Ciudadano 2, Cédula: 1700000002
ID: 3, Nombre: Ciudadano 3, Cédula: 1700000003
ID: 4, Nombre: Ciudadano 4, Cédula: 1700000004
ID: 6, Nombre: Ciudadano 6, Cédula: 1700000006
ID: 8, Nombre: Ciudadano 8, Cédula: 1700000008
ID: 10, Nombre: Ciudadano 10, Cédula: 1700000010
ID: 11, Nombre: Ciudadano 11, Cédula: 1700000011
ID: 12, Nombre: Ciudadano 12, Cédula: 1700000012
ID: 13, Nombre: Ciudadano 13, Cédula: 1700000013
ID: 20, Nombre: Ciudadano 20, Cédula: 1700000020
ID: 22, Nombre: Ciudadano 22, Cédula: 1700000022
ID: 23, Nombre: Ciudadano 23, Cédula: 1700000023
ID: 24, Nombre: Ciudadano 24, Cédula: 1700000024
ID: 28, Nombre: Ciudadano 28, Cédula: 1700000028
ID: 30, Nombre: Ciudadano 30, Cédula: 1700000030
ID: 32, Nombre: Ciudadano 32, Cédula: 1700000032
ID: 33, Nombre: Ciudadano 33, Cédula: 1700000033
ID: 34, Nombre: Ciudadano 34, Cédula: 1700000034
ID: 36, Nombre: Ciudadano 36, Cédula: 1700000036
ID: 38, Nombre: Ciudadano 38, Cédula: 1700000038
ID: 40, Nombre: Ciudadano 40, Cédula: 1700000040
ID: 41, Nombre: Ciudadano 41, Cédula: 1700000041
ID: 42, Nombre: Ciudadano 42, Cédula: 1700000042
ID: 44, Nombre: Ciudadano 44, Cédula: 1700000044
ID: 45, Nombre: Ciudadano 45, Cédula: 1700000045
ID: 46, Nombre: Ciudadano 46, Cédula: 1700000046
ID: 47, Nombre: Ciudadano 47, Cédula: 1700000047
ID: 48, Nombre: Ciudadano 48, Cédula: 1700000048
ID: 50, Nombre: Ciudadano 50, Cédula: 1700000050
ID: 51, Nombre: Ciudadano 51, Cédula: 1700000051
ID: 52, Nombre: Ciudadano 52, Cédula: 1700000052
ID: 53, Nombre: Ciudadano 53, Cédula: 1700000053
ID: 54, Nombre: Ciudadano 54, Cédula: 1700000054
ID: 56, Nombre: Ciudadano 56, Cédula: 1700000056
ID: 59, Nombre: Ciudadano 59, Cédula: 1700000059
ID: 60, Nombre: Ciudadano 60, Cédula: 1700000060
ID: 63, Nombre: Ciudadano 63, Cédula: 1700000063
ID: 65, Nombre: Ciudadano 65, Cédula: 1700000065
ID: 66, Nombre: Ciudadano 66, Cédula: 1700000066
ID: 68, Nombre: Ciudadano 68, Cédula: 1700000068
ID: 70, Nombre: Ciudadano 70, Cédula: 1700000070
ID: 71, Nombre: Ciudadano 71, Cédula: 1700000071
ID: 72, Nombre: Ciudadano 72, Cédula: 1700000072
ID: 73, Nombre: Ciudadano 73, Cédula: 1700000073
ID: 74, Nombre: Ciudadano 74, Cédula: 1700000074
ID: 75, Nombre: Ciudadano 75, Cédula: 1700000075
